title,games,urls
Startolj rá!,"Auchan x LEGO - F1 nyereményjáték, (07.17.), REGIO Játék - Bburago, Maisto Formula 1, (07.20.), E-sorsjegy Extra, (07.20.), Júliusi Eurojackpot akció, (07.20.), (új), Aldi -  Aqua Minera, (07.20.), (új), Frei Sparkling Coffee, (07.22.), Auchan (American Tourister), (07.23.), ALDI - Maggi, (07.23.)","['/auchan-x-lego-f1-nyeremenyjatek', '/regio-jatek-bburago-maisto-formula-1-nyeremenyjatek', '/e-sorsjegy-extra-nyeremenyjatek', '/juliusi-eurojackpot-akcio', '/aldi-aqua-minera-nyeremenyjatek', '/frei-sparkling-coffee-nyeremenyjatek', '/auchan-american-tourister-nyeremenyjatek', '/aldi-maggi-nyeremenyjatek']"
Utoljára frissített,"Auchan - Powerade, (új), Staropramen, (új), Malibu, (új), P&G, (új), Lay's - Penny, (új), Aldi -  Aqua Minera, (új), Ecofamily, Tanqueray, Johnnie Walker, Don Julio, (új), Júliusi Eurojackpot akció, (új), Puella, (új)","['/auchan-powerade-nyeremenyjatek', '/staropramen-nyeremenyjatek', '/malibu-nyeremenyjatek', '/pg-nyeremenyjatek', '/lays-penny-nyeremenyjatek', '/aldi-aqua-minera-nyeremenyjatek', '/ecofamily-nyeremenyjatek', '/tanqueray-johnnie-walker-don-julio-nyeremenyjatek', '/juliusi-eurojackpot-akcio', '/puella-nyeremenyjatek']"
Nyerj műszaki cikket!,"GoPro Hero 13 Black, Senheiser HD 450 BT fejhallgató","['/tuc-nyeremenyjatek', '/topjoy-app-nyeremenyjatek']"
Nyerj F1 belépőt!,"Abu-Dzabi F1, (új), MotoGP magyar nagydíjra, Páros belépő az F1 Magyar nagydíjra, 4 fős","['/shell-nyeremenyjatek', '/monster-nyeremenyjatek', '/auchan-x-lego-f1-nyeremenyjatek', '/regio-jatek-bburago-maisto-formula-1-nyeremenyjatek']"
Ital,"Staropramen, (új), Malibu, (új), Tanqueray, Johnnie Walker, Don Julio, (új), Jim Beam, (új), Monster, Mizo Coffee Selection, Burn, Almdudler, Topjoy App, Gösser, Frei Sparkling Coffee, Coca-Cola (vendéglátóhelyeken), Burn, XIXO, Vöslauer, Coors, Dreher, Soproni, Lipton Ice Tea, Nescafé Dolce Gusto, Tatratea, Fuze Tea, Coca-Cola","['/staropramen-nyeremenyjatek', '/malibu-nyeremenyjatek', '/tanqueray-johnnie-walker-don-julio-nyeremenyjatek', '/jim-beam-nyeremenyjatek', '/monster-nyeremenyjatek', '/mizo-coffee-selection-nyeremenyjatek', '/burn-energiaital-nyeremenyjatek', '/almdudler-nyeremenyjatek', '/topjoy-app-nyeremenyjatek', '/gosser-nyeremenyjatek', '/frei-sparkling-coffee-nyeremenyjatek', '/coca-cola-nyeremenyjatek-vendeglatohelyeken', '/burn-nyeremenyjatek', '/xixo-nyeremenyjatek', '/voslauer-nyeremenyjatek', '/coors-nyeremenyjatek', '/dreher-nyeremenyjatek', '/soproni-nyeremenyjatek', '/lipton-ice-tea-nyeremenyjatek', '/nescafe-dolce-gusto-nyeremenyjatek', '/tatratea-nyeremenyjatek', '/fuze-tea-nyeremenyjatek', '/coca-cola-nyeremenyjatek']"
Különleges nyeremények,"Valmar meet & greet, Batz x Daalarna cipő, Dunai élményhajózás, 1 millió Ft értékű buli, Formula-1 Abu-Dhabi Nagydíj","['/burger-king-nyeremenyjatek', '/voslauer-nyeremenyjatek', '/dreher-nyeremenyjatek', '/soproni-nyeremenyjatek', '/dewalt-x-mclaren-nyeremenyjatek']"
Nyerj pénzt!,"20 000 000 Ft, (új), 10 000 000 Ft, 10 000 000 Ft, 5 000 000 Ft, 1 000 000 Ft, 1 000 000 Ft, 20 000 000 Ft, 2 000 000 Ft, 10 000 000 Ft","['/juliusi-eurojackpot-akcio', '/e-sorsjegy-extra-nyeremenyjatek', '/xixo-nyeremenyjatek', '/magnum-nyeremenyjatek', '/simple-bit-nyeremenyjatek', '/sodastream-12-patroncsere-jatek', '/jatekoskartya-nyeremenyjatek', '/unilever-grill-globus-hellmanns-nyeremenyjatek', '/simons-burger-nyeremenyjatek']"
Nyerj háztartási gépet!,"P&G, (új), Rowenta robotporszívó, Gázgrill, gömbgrill, asztali grill, Grillsütő, gömbgrill, Samsung AI mosógép, Philips OneBlade Pro 360, Rowenta robotporszívó, SMEG hűtőszekrény","['/pg-nyeremenyjatek', '/fressnapf-purina-felix-nyeremenyjatek', '/chimax-nyeremenyjatek', '/almdudler-nyeremenyjatek', '/tesco-coccolino-nyeremenyjatek', '/cinema-city-nyeremenyjatek', '/nescafe-dolce-gusto-nyeremenyjatek', '/pottyos-nyeremenyjatek']"
Nyerj tabletet!,iPad,['/mizo-coffee-selection-nyeremenyjatek']
Nyerj okosórát!,Apple Watch SE,['/tatratea-nyeremenyjatek']
Nyerj laptopot!,"MacBook Air, MacBook Air M4 13"", ASUS laptop","['/shell-magnum-nyeremenyjatek', '/spar-pick-herz-nyeremenyjatek', '/spar-chio-nyeremenyjatek']"
Nyerj projektort!,Samsung projektor,['/coop-chio-nyeremenyjatek']
Nyerj airfryert!,Haier airfryer,['/candy-huto-nyeremenyjatek']
Nyerj koncertjegyet!,"Budapest Park voucher, Budapest Park 10 000 Ft értékű","['/maltesers-mms-nyeremenyjatek', '/mol-move-magnum-nyeremenyjatek']"
Nyerj robogót!,VESPA robogó,['/coca-cola-nyeremenyjatek-vendeglatohelyeken']
Nyerj belépőt!,Aquaworld,['/coca-cola-nyeremenyjatek-vendeglatohelyeken']
Nyerj rollert!,"Elektromos roller, (új), XIAOMI elektromos roller, Elektromos roller, XIAOMI Electric Scooter, XIAOMI roller","['/auchan-powerade-nyeremenyjatek', '/burger-king-nyeremenyjatek', '/coca-cola-nyeremenyjatek-vendeglatohelyeken', '/plaza-nyeremenyjatek', '/avena-gofit-nyeremenyjatek']"
Nyerj fesztivál jegyet!,"Sziget jegy, (új), Sziget jegy, (új), Sziget napijegy, STRAND fesztivál, SZIN fesztivál, 2 fős, 4 napos SZIN belépő, Sziget jegy, Sziget jegy, Sziget bérlet, páros Sziget napijegy, Sziget VIP jegy, EFOTT, Strand, SZIN","['/malibu-nyeremenyjatek', '/tanqueray-johnnie-walker-don-julio-nyeremenyjatek', '/aldi-lipton-ice-tea-nyeremenyjatek', '/burger-king-nyeremenyjatek', '/burn-nyeremenyjatek', '/cinema-city-nyeremenyjatek', '/dreher-nyeremenyjatek', '/lipton-ice-tea-nyeremenyjatek', '/tatratea-nyeremenyjatek', '/coca-cola-nyeremenyjatek', '/axe-nyeremenyjatek']"
Üzletekhez kötődő,"Auchan - Powerade, (új), Aldi -  Aqua Minera, (új), Lay's - Penny, (új), Penny - P&G, (új), CBA Delikát - Rauch MyTea, ALDI - Lipton Ice Tea, Ecofamily, Penny - Szentkirályi, TESCO - Martini, Auchan - Győri Édes, Pilóta, belVita, Oreo, 7Days, Dörmi, Milka keksz, Milka croissant, Korpovit, TESCO - Coccolino, TESCO - P&G, Shell - Magnum, SPAR - Kinley, Auchan x LEGO - F1 nyereményjáték, SPAR - Pick, Herz, ALDI - Maggi, SPAR - Győri Édes, Pilóta,  Korpovit, belVita, Oreo, Milka keksz, 7Days, Milka croissant, Dörmi, Auchan (American Tourister), SPAR - Chio, Coop - Chio, TESCO - Chio, Reál, EcoFamily - Mastercard","['/auchan-powerade-nyeremenyjatek', '/aldi-aqua-minera-nyeremenyjatek', '/lays-penny-nyeremenyjatek', '/penny-pg-nyeremenyjatek', '/cba-delikat-rauch-mytea-nyeremenyjatek', '/aldi-lipton-ice-tea-nyeremenyjatek', '/ecofamily-nyeremenyjatek', '/penny-szentkiralyi-nyeremenyjatek', '/tesco-martini-nyeremenyjatek', '/auchan-gyori-edes-pilota-belvita-oreo-7days-dormi-milka-keksz-milka-croissant-korpovit-nyeremenyjatek', '/tesco-coccolino-nyeremenyjatek', '/tesco-pg-nyeremenyjatek', '/shell-magnum-nyeremenyjatek', '/spar-kinley-nyeremenyjatek', '/auchan-x-lego-f1-nyeremenyjatek', '/spar-pick-herz-nyeremenyjatek', '/aldi-maggi-nyeremenyjatek', '/spar-gyori-edes-pilota-korpovit-belvita-oreo-milka-keksz-7days-milka-croissant-dormi-nyeremenyjatek', '/auchan-american-tourister-nyeremenyjatek', '/spar-chio-nyeremenyjatek', '/coop-chio-nyeremenyjatek', '/tesco-chio-nyeremenyjatek', '/real-nyeremenyjatek-nyero-tizes', '/ecofamily-mastercard-nyeremenyjatek']"
Élelmiszer,"TUC, ZolaFood, Chimax, Magnum, M&M's, Maltesers, Avena Gofit, Pringles, Pöttyös, Nádudvari grill, Unilever grill (Globus, Hellmann's), Milka","['/tuc-nyeremenyjatek', '/zolafood-nyeremenyjatek', '/chimax-nyeremenyjatek', '/magnum-nyeremenyjatek', '/maltesers-mms-nyeremenyjatek', '/avena-gofit-nyeremenyjatek', '/pringles-nyeremenyjatek', '/pottyos-nyeremenyjatek', '/nadudvari-grill-nyeremenyjatek', '/unilever-grill-globus-hellmanns-nyeremenyjatek', '/milka-nyeremenyjatek']"
Pontgyűjtő,Auchan (American Tourister),['/auchan-american-tourister-nyeremenyjatek']
Nyerj autót!,"Toyota C-HR, Hyundai i20, Vespa Primavera, Ford Explorer, BYD Dolphin Comfort","['/omv-nyeremenyjatek', '/cinema-city-nyeremenyjatek', '/pottyos-nyeremenyjatek', '/fuze-tea-nyeremenyjatek', '/hotel-europa-fit-nyeremenyjatek']"
Egyéb,"Júliusi Eurojackpot akció, (új), Shell, (új), Leukoplast, Fressnapf - Purina Felix, Loctite, Bodyselect, MOL Move- Hell, Véradás, E-sorsjegy Extra, SuperShop, Burger King, Candy hűtő, OMV, ALDI Utazás, Plaza, REGIO Játék - Bburago, Maisto Formula 1, Cinema City, Simple bit, MOL Move Kalifornia, BAHART - Mastercard, SodaStream 12. Patroncsere játék, MOL Move -  Magnum, Játékoskártya, Amore di Napoli, Amore' - Pasta e Basta, IBUSZ, Duofix Sigma (Geberit), DEWALT x McLaren, foodora - Red Bull, Hotel Európa Fit, Art Hotel, Simon’s Burger","['/juliusi-eurojackpot-akcio', '/shell-nyeremenyjatek', '/leukoplast-nyeremenyjatek', '/fressnapf-purina-felix-nyeremenyjatek', '/loctite-nyeremenyjatek', '/bodyselect-nyeremenyjatek', '/mol-hell-nyeremenyjatek', '/veradas-nyeremenyjatek', '/e-sorsjegy-extra-nyeremenyjatek', '/supershop-nyeremenyjatek', '/burger-king-nyeremenyjatek', '/candy-huto-nyeremenyjatek', '/omv-nyeremenyjatek', '/aldi-utazas-nyeremenyjatek', '/plaza-nyeremenyjatek', '/regio-jatek-bburago-maisto-formula-1-nyeremenyjatek', '/cinema-city-nyeremenyjatek', '/simple-bit-nyeremenyjatek', '/mol-move-kalifornia-nyeremenyjatek', '/bahart-mastercard-nyeremenyjatek', '/sodastream-12-patroncsere-jatek', '/mol-move-magnum-nyeremenyjatek', '/jatekoskartya-nyeremenyjatek', '/amore-di-napoli-amore-pasta-e-basta-nyeremenyjatek', '/ibusz-nyeremenyjatek', '/duofix-sigma-geberit-nyeremenyjatek', '/dewalt-x-mclaren-nyeremenyjatek', '/foodora-red-bull-nyeremenyjatek', '/hotel-europa-fit-nyeremenyjatek', '/art-hotel-nyeremenyjatek', '/simons-burger-nyeremenyjatek']"
Nyerj mobilt!,"iPhone 16e, iPhone 16 Pro, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Pro","['/tesco-martini-nyeremenyjatek', '/topjoy-app-nyeremenyjatek', '/xixo-nyeremenyjatek', '/spar-pick-herz-nyeremenyjatek', '/mol-move-kalifornia-nyeremenyjatek', '/mol-move-magnum-nyeremenyjatek']"
Nyerj TV-t!,Samsung TV,['/tesco-chio-nyeremenyjatek']
Nyerj kerékpárt!,"Galaxy MT16 kerékpár, E-kerékpár, Neuzer kerékpár","['/leukoplast-nyeremenyjatek', '/aldi-maggi-nyeremenyjatek', '/fuze-tea-nyeremenyjatek']"
Kozmetikai és háztartási cikkek,"P&G, (új), Puella, (új), Axe","['/pg-nyeremenyjatek', '/puella-nyeremenyjatek', '/axe-nyeremenyjatek']"
Nyerj utazást!,"Treehouses Noszvaj, (új), Škoda Fabia, (új), Abu-Dzabi, (új), Dunabogdányi kabinház, (új), 1 000 000 Ft értékű, (új), 300 000 Ft értékű, Olaszország / Szlovénia, Párizs, Hotel Kempinski High Tatras, Zalakaros, Kolping Family Resort, 1 000 000 Ft értékű, 100 000 Ft értékű, Hévíz, Zalakaros, Hajdúszoboszló, Thaiföld, Noszvaj, Olaszország, Stájerország, Noszvaj, Balatoni vitorlázás, Ushuaia, Horvátországi nyaralás, 100 000 Ft értékű, Colorado, Kalifornia, Hotel Azúr - Siófok, Törökország, Szlovákia, Sziget hetijegy, Nápoly, 5 000 000 Ft értékű illetve Olaszország, Görögország, 1 millió Ft értékű, Los Angeles / Párizs / New York","['http://www.webnyeremeny.hu/link.php?id=1289', '/puella-nyeremenyjatek', '/shell-nyeremenyjatek', '/lays-penny-nyeremenyjatek', '/jim-beam-nyeremenyjatek', '/leukoplast-nyeremenyjatek', '/tuc-nyeremenyjatek', '/mizo-coffee-selection-nyeremenyjatek', '/loctite-nyeremenyjatek', '/zolafood-nyeremenyjatek', '/penny-szentkiralyi-nyeremenyjatek', '/tesco-martini-nyeremenyjatek', '/veradas-nyeremenyjatek', '/gosser-nyeremenyjatek', '/candy-huto-nyeremenyjatek', '/aldi-utazas-nyeremenyjatek', '/tesco-pg-nyeremenyjatek', '/voslauer-nyeremenyjatek', '/spar-kinley-nyeremenyjatek', '/plaza-nyeremenyjatek', '/cinema-city-nyeremenyjatek', '/coors-nyeremenyjatek', '/mol-move-kalifornia-nyeremenyjatek', '/bahart-mastercard-nyeremenyjatek', '/sodastream-12-patroncsere-jatek', '/tatratea-nyeremenyjatek', '/avena-gofit-nyeremenyjatek', '/amore-di-napoli-amore-pasta-e-basta-nyeremenyjatek', '/pottyos-nyeremenyjatek', '/ibusz-nyeremenyjatek', '/art-hotel-nyeremenyjatek', '/milka-nyeremenyjatek']"
Sorsolás,"Héra, Trinát, Lazurán, (07.17.), Penny kártya (digitális), (07.17.), Tippmix, (07.17.), ALDI - Pick Friss Hús, (07.17.), ALDI - Burn, (07.17.)","['/hera-trinat-lazuran-nyeremenyjatek', '/penny-kartya-nyeremenyjatek', '/tippmix-nyeremenyjatek', '/aldi-pick-friss-hus-nyeremenyjatek', '/aldi-burn-nyeremenyjatek', '/varta-nyeremenyjatek', '/tisza-coop-nyeremenyjatek', '/aldi-biotech-usa-nyeremenyjatek', '/tisza-coop-frutti-italpor-nyeremenyjatek', '/auchan-korzo-nyeremenyjatek', '/tesco-monster-nyeremenyjatek', '/sierra-tequila-nyeremenyjatek', '/supershop-nyeremenyjatek-2025-06-30', '/pick-nyeremenyjatek', '/auchan-jack-daniels-nyeremenyjatek', '/borsodi-nyeremenyjatek', '/lidl-jegkrem-nyeremenyjatek', '/mol-move-red-bull-nyeremenyjatek', '/coop-nyeremenyjatek', '/gyori-edes-korpovit-dormi-pilota-nyeremenyjatek', '/dm-garnier-nyeremenyjatek', '/master-good-csirke-parizsi-nyeremenyjatek', '/lidl-mizo-nyeremenyjatek', '/aldi-nyeremenyjatek', '/ecofamily-pg-nyeremenyjatek', '/mionetto-nyeremenyjatek']"
